Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,PeerGroup,OptimiserCategory,Type,IRDuration,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,,Citicode,LastPrice,MarketCap,Exchange,ShortSell%,Date,Basic EPS,Total Revenues,Dividend per Share - Net,Total Assets,Total Liabilities,Growth of Net Income (%),Growth of Net Sales (%),Growth of Free Cash Flow (%),Return on Total Equity (%),Payout Ratio,Total Debt / Total Assets,Net Profit Margin (%),Interest Cover (EBIT)
FOX.NAS,FOX,FOX CORP CLASS B,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT.NAS,MSFT,MICROSOFT CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL.NAS,AAPL,APPLE INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN.NAS,AMZN,AMAZON COM INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA.NAS,NVDA,NVIDIA CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGL.NAS,GOOGL,ALPHABET INC CLASS A,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
META.NAS,META,META PLATFORMS INC CLASS A,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG.NAS,GOOG,ALPHABET INC CLASS C,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSLA.NAS,TSLA,TESLA INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVGO.NAS,AVGO,BROADCOM INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE.NAS,ADBE,ADOBE INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST.NAS,COST,COSTCO WHOLESALE CORP,Growth,International Shares,Global Shares,Global Shares,Consumer Staples,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEP.NAS,PEP,PEPSICO INC,Growth,International Shares,Global Shares,Global Shares,Consumer Staples,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCO.NAS,CSCO,CISCO SYSTEMS INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFLX.NAS,NFLX,NETFLIX INC,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIN.NAS,LIN,LINDE PLC,Growth,International Shares,Global Shares,Global Shares,Materials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD.NAS,AMD,ADVANCED MICRO DEVICES INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSA.NAS,CMCSA,COMCAST CORP CLASS A,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTC.NAS,INTC,INTEL CORPORATION CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMGN.NAS,AMGN,AMGEN INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTU.NAS,INTU,INTUIT INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCOM.NAS,QCOM,QUALCOMM INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXN.NAS,TXN,TEXAS INSTRUMENT INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HON.NAS,HON,HONEYWELL INTERNATIONAL INC,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT.NAS,AMAT,APPLIED MATERIAL INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBUX.NAS,SBUX,STARBUCKS CORP,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKNG.NAS,BKNG,BOOKING HOLDINGS INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILD.NAS,GILD,GILEAD SCIENCES INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISRG.NAS,ISRG,INTUITIVE SURGICAL INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRTX.NAS,VRTX,VERTEX PHARMACEUTICALS INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLZ.NAS,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Growth,International Shares,Global Shares,Global Shares,Consumer Staples,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADP.NAS,ADP,AUTOMATIC DATA PROCESSING INC,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGN.NAS,REGN,REGENERON PHARMACEUTICALS INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRCX.NAS,LRCX,LAM RESEARCH CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADI.NAS,ADI,ANALOG DEVICES INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU.NAS,MU,MICRON TECHNOLOGY INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CME.NAS,CME,CME GROUP INC CLASS A,Growth,International Shares,Global Shares,Global Shares,Financials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMUS.NAS,TMUS,T MOBILE US INC,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNPS.NAS,SNPS,SYNOPSYS INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANW.NAS,PANW,PALO ALTO NETWORKS INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQIX.NAS,EQIX,EQUINIX REIT INC,Growth,International Shares,Global Shares,Global Shares,Real Estate,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDNS.NAS,CDNS,CADENCE DESIGN SYSTEMS INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLAC.NAS,KLAC,KLA CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSX.NAS,CSX,CSX CORP,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYPL.NAS,PYPL,PAYPAL HOLDINGS INC,Growth,International Shares,Global Shares,Global Shares,Financials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLY.NAS,ORLY,OREILLY AUTOMOTIVE INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROP.NAS,ROP,ROPER TECHNOLOGIES INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNB.NAS,ABNB,AIRBNB INC CLASS A,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR.NAS,MAR,MARRIOTT INTERNATIONAL INC CLASS A,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXPI.NAS,NXPI,NXP SEMICONDUCTORS NV,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LULU.NAS,LULU,LULULEMON ATHLETICA INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTAS.NAS,CTAS,CINTAS CORP,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAR.NAS,PCAR,PACCAR INC,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSK.NAS,ADSK,AUTODESK INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTR.NAS,CHTR,CHARTER COMMUNICATIONS INC CLASS A,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST.NAS,ROST,ROSS STORES INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNST.NAS,MNST,MONSTER BEVERAGE CORP,Growth,International Shares,Global Shares,Global Shares,Consumer Staples,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHP.NAS,MCHP,MICROCHIP TECHNOLOGY INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP.NAS,AEP,AMERICAN ELECTRIC POWER INC,Growth,International Shares,Global Shares,Global Shares,Utilities,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPRT.NAS,CPRT,COPART INC,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXC.NAS,EXC,EXELON CORP,Growth,International Shares,Global Shares,Global Shares,Utilities,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEG.NAS,CEG,CONSTELLATION ENERGY CORP,Growth,International Shares,Global Shares,Global Shares,Utilities,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXCM.NAS,DXCM,DEXCOM INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYX.NAS,PAYX,PAYCHEX INC,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIIB.NAS,BIIB,BIOGEN INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODFL.NAS,ODFL,OLD DOMINION FREIGHT LINE INC,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDXX.NAS,IDXX,IDEXX LABORATORIES INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKR.NAS,BKR,BAKER HUGHES CLASS A,Growth,International Shares,Global Shares,Global Shares,Energy,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRSK.NAS,VRSK,VERISK ANALYTICS INC,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST.NAS,FAST,FASTENAL,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSH.NAS,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XEL.NAS,XEL,XCEL ENERGY INC,Growth,International Shares,Global Shares,Global Shares,Utilities,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTNT.NAS,FTNT,FORTINET INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA.NAS,EA,ELECTRONIC ARTS INC,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGL.NAS,ACGL,ARCH CAPITAL GROUP LTD,Growth,International Shares,Global Shares,Global Shares,Financials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSGP.NAS,CSGP,COSTAR GROUP INC,Growth,International Shares,Global Shares,Global Shares,Real Estate,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDP.NAS,KDP,KEURIG DR PEPPER INC,Growth,International Shares,Global Shares,Global Shares,Consumer Staples,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON.NAS,ON,ON SEMICONDUCTOR CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANG.NAS,FANG,DIAMONDBACK ENERGY INC,Growth,International Shares,Global Shares,Global Shares,Energy,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDW.NAS,CDW,CDW CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEHC.NAS,GEHC,GE HEALTHCARE TECHNOLOGIES INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHC.NAS,KHC,KRAFT HEINZ,Growth,International Shares,Global Shares,Global Shares,Consumer Staples,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBD.NAS,WBD,WARNER BROS. DISCOVERY INC SERIES,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTW.NAS,WTW,WILLIS TOWERS WATSON PLC,Growth,International Shares,Global Shares,Global Shares,Financials,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSS.NAS,ANSS,ANSYS INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRNA.NAS,MRNA,MODERNA INC,Growth,International Shares,Global Shares,Global Shares,Health Care,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLTR.NAS,DLTR,DOLLAR TREE INC,Growth,International Shares,Global Shares,Global Shares,Consumer Staples,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBAC.NAS,SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Growth,International Shares,Global Shares,Global Shares,Real Estate,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPWR.NAS,MPWR,MONOLITHIC POWER SYSTEMS INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBAY.NAS,EBAY,EBAY INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTWO.NAS,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Growth,International Shares,Global Shares,Global Shares,Communication,NASDAQ Stock Market,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHKP.NAS,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,Israel,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCEP.NAS,CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,Growth,International Shares,Global Shares,Global Shares,Consumer Staples,NASDAQ Stock Market,,Netherlands,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR.NAS,CYBR,CYBER ARK SOFTWARE LTD,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,Israel,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAB.NAS,GRAB,GRAB HOLDINGS LTD CLASS A,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,Singapore,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIX.NAS,WIX,WIX.COM LTD,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,Israel,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUTU.NAS,FUTU,FUTU HOLDINGS ADR LTD,Growth,International Shares,Global Shares,Global Shares,Financials,NASDAQ Stock Market,,Hong Kong,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLBE.NAS,GLBE,GLOBAL E ONLINE LTD,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,NASDAQ Stock Market,,Israel,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNDY.NAS,MNDY,MONDAYCOM LTD,Growth,International Shares,Global Shares,Global Shares,Information Technology,NASDAQ Stock Market,,Israel,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYAAY.NAS,RYAAY,RYANAIR HOLDINGS ADR REPRESENTING,Growth,International Shares,Global Shares,Global Shares,Industrials,NASDAQ Stock Market,,United States,USA,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINV-B.STO,KINV-B,KINNEVIK CLASS B,Growth,International Shares,Global Shares,Global Shares,Financials,Nasdaq Stockholm Stock Exchange,,Sweden,EUR,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELUX-B.STO,ELUX-B,ELECTROLUX CLASS B,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,Nasdaq Stockholm Stock Exchange,,Sweden,EUR,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APTV.NYS,APTV,APTIV PLC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFS.NYS,DFS,DISCOVER FINANCIAL SERVICES,Growth,International Shares,Global Shares,Global Shares,Financials,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT.NYS,STT,STATE STREET CORP,Growth,International Shares,Global Shares,Global Shares,Financials,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLW.NYS,GLW,CORNING INC,Growth,International Shares,Global Shares,Global Shares,Information Technology,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR.NYS,BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Growth,International Shares,Global Shares,Global Shares,Industrials,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTRA.NYS,CTRA,COTERRA ENERGY INC,Growth,International Shares,Global Shares,Global Shares,Energy,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETR.NYS,ETR,ENTERGY CORP,Growth,International Shares,Global Shares,Global Shares,Utilities,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE.NYS,AEE,AMEREN CORP,Growth,International Shares,Global Shares,Global Shares,Utilities,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH.NYS,MOH,MOLINA HEALTHCARE INC,Growth,International Shares,Global Shares,Global Shares,Health Care,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPE.NYS,HPE,HEWLETT PACKARD ENTERPRISE,Growth,International Shares,Global Shares,Global Shares,Information Technology,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTB.NYS,MTB,M&T BANK CORP,Growth,International Shares,Global Shares,Global Shares,Financials,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES.NYS,ES,EVERSOURCE ENERGY,Growth,International Shares,Global Shares,Global Shares,Utilities,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAB.NYS,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Growth,International Shares,Global Shares,Global Shares,Industrials,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVR.NYS,NVR,NVR INC,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRGP.NYS,TRGP,TARGA RESOURCES CORP,Growth,International Shares,Global Shares,Global Shares,Energy,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL.NYS,PPL,PPL CORP,Growth,International Shares,Global Shares,Global Shares,Utilities,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC.NYS,GPC,GENUINE PARTS,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWM.NYS,HWM,HOWMET AEROSPACE INC,Growth,International Shares,Global Shares,Global Shares,Industrials,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF.NYS,RJF,RAYMOND JAMES INC,Growth,International Shares,Global Shares,Global Shares,Financials,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE.NYS,FE,FIRSTENERGY CORP,Growth,International Shares,Global Shares,Global Shares,Utilities,New York Stock Exchange Inc.,,United States,USD,,,,,IEQStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
